Task Name,Task Content,Status,Tags,work_type,work_area,funnel_stage,effort,target_release,github_pr,doctrine_relevant,doctrine_flag,doctrine_conflict,experiment_waiver,experiment_doctrine_name,touches_auth,touches_rls,touches_pii,touches_posthog,touches_stripe,security_severity,superagent_review_status,superagent_review_done,superagent_notes
Weekly Product Review | 2026-W24,Ankertaak voor wekelijkse funnel + core loop review door Structuro Superagent. Agent plaatst comment hier elke week.,Backlog,weekly;superagent,,,,,,,,,,,,,,,,,,pending,false,
Weekly Security Check | 2026-W24,Ankertaak voor wekelijkse security/data-discipline scan. Agent plaatst comment hier elke week.,Backlog,weekly;superagent,,,,,,,,,,,,,,,,,,pending,false,
Weekly Doctrine Review | 2026-W24,Ankertaak voor wekelijkse doctrine sanity check. Agent plaatst comment hier elke week.,Backlog,weekly;superagent,,,,,,,,,,,,,,,,,,pending,false,
PRD-001 | Deploy TikTok LP + acquisition tracking,Deploy /tiktok landing + PostHog acquisition events. Promote URL met utm_content.,Live,acquisition;tiktok,Feature,Acquisition,Acquisition,M,2026-06-15,,false,none,false,false,,false,false,false,true,false,none,ok,true,
PRD-006 | Organic bridge /start + structuro.eu CTAs,Deploy /start organic bridge + zelftest sticky CTA naar /start. Gedeelde LP-componenten met /tiktok.,Live,acquisition;organic,Feature,Landing,Acquisition,M,2026-06-15,,false,none,false,false,,false,false,false,true,false,none,ok,true,
PRD-007 | Onboarding compact (5 stappen),Compact onboarding: naam naar eerste dagstart. Meet signup naar dagstart.,Live,activation;onboarding,Feature,Core Loop,Activation,M,2026-06-15,,false,none,false,false,,false,false,false,true,false,none,pending,false,Meten na deploy
PRD-008 | Magic link signup,Passwordless signup via Supabase OTP.,Live,activation;auth,Feature,Auth,Activation,S,2026-06-15,,false,none,false,false,,true,false,true,true,false,low,ok,true,
PRD-009 | TikTok conditional copy op /registreren,Registratie-copy past aan op basis van acquisitie-bron.,Live,acquisition;tiktok,Feature,Landing,Acquisition,S,2026-06-15,,false,none,false,false,,false,false,false,true,false,none,ok,true,
PRD-010 | Paid TikTok ads PAUZEREN,Bewust geen paid promote tot signup naar dagstart >25%.,Backlog,acquisition;tiktok,Ops,Acquisition,Acquisition,S,,,false,none,false,false,,false,false,false,true,false,none,ok,true,Empirische firewall
PRD-002 | Auth recovery hash fix Patricia,"Fix wachtwoord-reset: tokens in URL hash, redirect naar /auth/wachtwoord-instellen.",Ready,auth;support,Bug,Auth,Activation,S,2026-06-15,,false,none,false,false,,true,false,true,false,none,medium,pending,false,
PRD-003 | Supabase redirect URL allow list,Voeg https://www.structuro.ai/auth/wachtwoord-instellen toe aan Supabase Auth redirect allow list.,In Progress,auth;supabase,Ops,Supabase,Activation,S,2026-06-15,,false,none,false,false,,true,false,false,false,false,low,pending,false,
PRD-004 | PostHog before_send URL token strip,Strip recovery tokens uit $current_url in PostHog before_send.,Backlog,posthog;security,Security,PostHog,N/A,S,,,false,none,false,false,,false,false,true,true,false,medium,pending,false,
PRD-005 | Experiment | Gamification streak badge,Voorbeeld experiment-taak. Alleen met experiment_waiver=true.,Backlog,experiment,Experiment,Core Loop,Retention,M,,,true,anti_neurotypisch,true,true,Anti-Neurotypisch Veto,false,false,false,false,false,none,pending,false,Expliciet experiment: doctrine conflict verwacht
